NCT Number,Title,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Primary Completion Date,Completion Date,allocation,intervention_model,observational_model,time_perspective,masking,primary_purpose,country,Start_Month,Start Year,Is_Country_Unknown,Study_Duration_Days
NCT04717011,Case Series Study to Detect SARS-CoV-2 in Semen of COVID-19 Patients,Recruiting,No Results Available,SARS-CoV-2,Diagnostic Test: PCR test,SARS-CoV-2 semen result,Igenomix,Male,"18 Years to 65 Years   (Adult, Older Adult)",N/A,100,Industry,Observational,2021-02-01,2021-07-01,2021-07-01,N/A,N/A,Case-Only,Prospective,N/A,N/A,Spain,2021-02,2021,False,150
NCT04412486,COVID-19 Convalescent Plasma (CCP) Transfusion,Recruiting,No Results Available,COVID-19,Biological: COVID Convalescent Plasma,Change in PaO2/FiO2 after CCP transfusion.|Change in pulse oximetry status after CCP transfusion.|Change in aO2 after CCP transfusion.|Change in respiratory rate after CCP transfusion.|Change in intubation status after CCP transfusion.|Change in Sequential Organ Failure Assessment (SOFA).|Change in 8-point ordinal clinical deterioration scale.|Length of ICU/hospital stay.|Development of plasma transfusion reactions.|Development of immune complex disorders.|Change in anti CoV-2 IgM and IgG levels.,"Gailen D. Marshall Jr., MD PhD|University of Mississippi Medical Center",All,"18 Years and older   (Adult, Older Adult)",Early Phase 1,100,Other,Interventional,2020-06-01,2022-05-31,2022-05-31,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Treatment,United States,2020-06,2020,False,729
NCT04581135,Study to Investigate Long-term Pulmonary and Extrapulmonary Effects of COVID-19,Recruiting,No Results Available,COVID-19,Other: COVID-19,Pulmonary follow-up sequelae in patients after COVID-19|Evaluation of risk factors for adverse Outcome after COVID-19|Compare the functional Pulmonary outcome of COVID-19 disease|Compare the radiological Pulmonary outcome of COVID-19 disease|Quality of Life after COVID-19|Physical performance after COVID-19 using Clinical Frailty Scale|Physical performance after COVID-19 using frailty assessment tests|Microbiota and COVID-19,"University Hospital Inselspital, Berne",All,"18 Years and older   (Adult, Older Adult)",N/A,500,Other,Observational,2020-05-01,2023-04-30,2023-06-01,N/A,N/A,Cohort,Prospective,N/A,N/A,Switzerland,2020-05,2020,False,1126
NCT04387968,"Epidemiological Study of the Covid-19 Presto Test - The ""COVIDOR"" Study",Recruiting,No Results Available,Coronavirus Infection,Diagnostic Test: Covid-19 presto test,"Study the prevalence of Covid-19 infection, coronavirus (SARS coronavirus-2) in territorial agents in the 3 structures : CCTVL, Loire Valley Region Centre, Orleans Metropolitan city|Determine if there is a relationship between the profession carried out by the agents of the territorial community of Orleans metropolitan city, the Loire Valley Region, the CCTVL and contamination by covid-19","Raphael Serreau|François Rabelais University|Assistance Publique - Hôpitaux de Paris|University Hospital, Paris|Orléans Métropole Service de Médecine Préventive",All,"18 Years to 65 Years   (Adult, Older Adult)",N/A,5000,Other,Observational,2020-08-24,2021-03-24,2021-03-24,N/A,N/A,Ecologic or Community,Prospective,N/A,N/A,France,2020-08,2020,False,212
NCT04845048,Active Pharmacovigilance Study of Adsorbed COVID-19 (Inactivated) Vaccine,Not yet recruiting,No Results Available,Covid19,Biological: Adsorbed COVID-19 (Inactivated) Vaccine,Incidence of adverse events after receiving the Adsorbed COVID-19 (inactivated) Vaccine|Reactogenicity of Adsorbed COVID-19 (inactivated) Vaccine|Safety of Adsorbed COVID-19 (inactivated) Vaccine|safety of Adsorbed COVID-19 (inactivated) Vaccine,Butantan Institute,All,"18 Years and older   (Adult, Older Adult)",N/A,900,Other,Observational,2021-04-01,2021-09-01,2021-11-01,N/A,N/A,Cohort,Prospective,N/A,N/A,Brazil,2021-04,2021,False,214
NCT04490837,Rapid Diagnostic Test for COVID-19 Based on Antibody Detection (YCOVID),"Active, not recruiting",No Results Available,Covid-19,Diagnostic Test: ELISA and Rapid test to detect antibodies against COVID-19,IgG anti-COVID-19|IgM anti-COVID-19|IgA anti-COVID-19|Time of onset symptoms|COVID-19 PCR results|Radiological studies,Corporacion Parc Tauli,All,"18 Years and older   (Adult, Older Adult)",N/A,3500,Other,Observational,2020-06-22,2020-07-31,2020-09-30,N/A,N/A,Case-Control,Prospective,N/A,N/A,Spain,2020-06,2020,False,100
NCT04834908,Evaluation of Equine Antibody Treatment in Patients With COVID 19 Infection,Not yet recruiting,No Results Available,SARS-CoV-2 Infection,Biological: Equine COVID-19 Antiserum|Drug: Standard of care,Phase 1 Unexpected serious adverse events|Phase 2 Patients turning COVID-19 negative (RT-PCR negative)|Phase 2 Patients turning COVID-19 negative (RT-PCR Negative)|Phase 1 Patients turning COVID-19 negative (RT-PCR Negative)|Phase 1 Exploratory outcome|Phase 1-Exploratory outcome|Phase 1- Exploratory outcome|Phase 2 Unexpected serious adverse events|Phase 2 Change in WHO clinical progression scale,Bharat Serums and Vaccines Limited,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,160,Industry,Interventional,2021-05-01,2022-03-01,2022-09-01,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Treatment,Unknown,2021-05,2021,True,488
NCT04730401,Convalescent Plasma in the Treatment of Covid-19,Recruiting,No Results Available,Covid19,Biological: Convalescent plasma from COVID-19 donors|Biological: Placebo,Safety (SAE)|Rate of intubation|Number of participants initiating systemic corticosteroids|Hospital stay|Mortality|ICU stay|Ventilator days|Severity of respiratory failure|Viral load|Antibody measurements|Thrombotic complication|The rate of participants presenting with coagulopathy disorders|Number of participants with laboratory change|Adverse effects|Convalescent plasma efficacy|Convalescent plasma high vs low titer efficacy|Convalescent plasma efficacy according to donor status,Helsinki University Central Hospital|Finnish Red Cross,All,"18 Years and older   (Adult, Older Adult)",Phase 2,390,Other,Interventional,2021-01-27,2021-08-31,2021-12-31,Randomized,Parallel Assignment,N/A,N/A,"Triple (Participant, Care Provider, Investigator)",Treatment,Finland,2021-01,2021,False,338
NCT04799444,LATE-COVID/LATE-COVID-Kids - Observational Study in Children and Adults,Recruiting,No Results Available,Covid19,N/A,Number of participants with severe post-COVID-19 complications|Factors related to the severity of post-COVID-19 complications,Polish Mother Memorial Hospital Research Institute,All,"Child, Adult, Older Adult",N/A,500,Other,Observational,2020-10-01,2022-06-30,2022-06-30,N/A,N/A,Cohort,Prospective,N/A,N/A,Poland,2020-10,2020,False,637
NCT04425707,Ivermectin In Treatment of COVID 19 Patients,Recruiting,No Results Available,Covid19,Drug: Ivermectin,to evaluate the role of Ivermectin as a line of treatment for COVID 19|To asses the rate of viral clearance in comparison to other treatment protocols.,"Ministry of Health and Population, Egypt",All,"18 Years and older   (Adult, Older Adult)",N/A,100,Other,Interventional,2020-06-09,2020-07-01,2020-09-01,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Treatment,Egypt,2020-06,2020,False,84
NCT04356560,COVID-19 Surveillance of Patients and Healthcare Workers in a Hospital Department,Enrolling by invitation,No Results Available,COVID-19,"Diagnostic Test: COVID-19 test, polymerase chain reaction for SARS-CoV-2",Incidence of healthcare workers with SARS-CoV-2|Incidence of ENT patients with SARS-CoV-2|Development of SARS-CoV-2 antibodies among healthcare workers|Sensitivity and specificity of a COVID-19 screening symptom questionnaire among healthcare workers|SARS CoV-2 and bacterial super infections in upper respiratory airways,"Rigshospitalet, Denmark",All,"Child, Adult, Older Adult",N/A,300,Other,Observational,2020-03-23,2020-09-30,2020-12-31,N/A,N/A,Cohort,Prospective,N/A,N/A,Denmark,2020-03,2020,False,283
NCT04598620,Non-invasive Prognostication of COVID-19 Patients by Use of Biomarkers in Exhaled Breath Condensate,Recruiting,No Results Available,Covid19|Corona Virus Infection,N/A,Prediction of admission to ICU in hospitalized COVID-19 patients|Pathophysiology in COVID-19 patients,Inger Lise Gade|Aarhus University Hospital Skejby|Aalborg University Hospital,All,"18 Years and older   (Adult, Older Adult)",N/A,50,Other,Observational,2020-09-19,2021-10-01,2021-10-01,N/A,N/A,Case-Only,Prospective,N/A,N/A,Denmark,2020-09,2020,False,377
NCT04386109,Neonatal Complications of Coronavirus Disease (COVID-19),Recruiting,No Results Available,Neonatal COVID-19 Disease,Other: No intervention - exposure is to COVID-19,Incidence of neonatal COVID-19|Incidence of vertically transmitted COVID-19|Presentation and natural history of neonatal COVID-19|Presentation of neonates with COVID-19 positive mothers|Outcomes for neonates with COVID-19|Clinical treatment of neonatal COVID-19|Neonatal secondary impacts of maternal COVID-19,"University of Oxford|Imperial College London|University of Leicester|University of Nottingham|University of Glasgow|University Hospital of Wales|Public Health England|St George's, University of London",All,up to 29 Days   (Child),N/A,500,Other,Observational,2020-04-01,2021-03-31,2021-09-30,N/A,N/A,Cohort,Prospective,N/A,N/A,United Kingdom,2020-04,2020,False,547
NCT04575168,Clinical Study Spartan COVID-19 V2 System,Recruiting,No Results Available,Covid19,Diagnostic Test: Spartan COVID-19 Test,Percent Agreement between SOC test and Spartan COVID-19 test,Spartan Bioscience Inc.|Beaufort,All,"18 Years and older   (Adult, Older Adult)",N/A,100,Industry|Other,Observational,2020-10-30,2020-11-01,2020-11-01,N/A,N/A,Cohort,Cross-Sectional,N/A,N/A,United States,2020-10,2020,False,2
NCT04437940,Evaluation of Vaginal Fluid for Covid-19 Positivity in Women With Positive Nasofarengeal Covid-19 Test,Completed,No Results Available,COVID|Sars-CoV2,Diagnostic Test: Vaginal fluid Covid-19 PCR test,Vaginal fluid Covid-19 PCR test result|becoming negative from positive,Acibadem University,Female,"18 Years to 70 Years   (Adult, Older Adult)",N/A,38,Other,Observational,2020-06-15,2020-07-10,2020-11-30,N/A,N/A,Cohort,Prospective,N/A,N/A,Turkey,2020-06,2020,False,168
NCT04508075,"Efficacy, Safety and Immunogenicity Study of SARS-CoV-2 Inactivated Vaccine","Active, not recruiting",No Results Available,SARS-CoV2 Infection,Biological: SARS-CoV-2 vaccine (inactivated)|Biological: Placebo,"Incidence of laboratory-confirmed COVID-19 after the second dose|Incidence of suspected COVID-19 cases|Incidence of laboratory-confirmed cases (severe, critical and death)|Seroconversion rate anti-S antibody IgG titer (ELISA)|Seropositive rate of neutralizing antibodies","PT Bio Farma|Faculty of Medicine Universitas Padjadjaran|National Intitute of Health Research and Development, Ministry of Health Republic of Indonesia|Sinovac Life Sciences Co., Ltd.",All,18 Years to 59 Years   (Adult),Phase 3,1620,Industry|Other,Interventional,2020-08-10,2021-01-09,2021-09-01,Randomized,Parallel Assignment,N/A,N/A,"Double (Participant, Investigator)",Prevention,Indonesia,2020-08,2020,False,387
NCT04628208,Clinical Study Spartan COVID-19 V2 System (Canada Alternate),Recruiting,No Results Available,Covid19,Diagnostic Test: Spartan COVID-19 v2 System,Percent Agreement between SOC test and Spartan COVID-19 test,Spartan Bioscience Inc.,All,"18 Years and older   (Adult, Older Adult)",N/A,60,Industry,Observational,2020-11-17,2021-01-01,2021-01-01,N/A,N/A,Case-Only,Cross-Sectional,N/A,N/A,Canada,2020-11,2020,False,45
NCT04750330,Mitochondrial DNA and Nuclear SNPs to Predict Severity of COVID-19 Infection,Not yet recruiting,No Results Available,Covid19,N/A,COVID-19 Severity|Overall survival of the hospitalized population,Maastricht University|Innovative Medicines Initiative,All,"18 Years and older   (Adult, Older Adult)",N/A,600,Other,Observational,2021-04-01,2022-03-31,2022-03-31,N/A,N/A,Case-Control,Retrospective,N/A,N/A,Unknown,2021-04,2021,True,364
NCT04602949,Detection of COVID-19 Using Breath Analysis - Validation Study,Recruiting,No Results Available,Covid19,Diagnostic Test: Breath Biopsy Analysis,"Presence of Volatile Organic Compounds indicating carriers of COVID-19.|Association of exhaled biomarkers with participants' characteristics (age, gender, symptoms-severity, etc.).|sensitivity level of biomarkers' algorithm.",Scentech Medical Technologies Ltd,All,"18 Years to 75 Years   (Adult, Older Adult)",N/A,4000,Industry,Interventional,2020-11-12,2021-07-28,2021-07-28,Non-Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Diagnostic,Israel,2020-11,2020,False,258
NCT04376398,Survey: COVID-19 Patients Managed in the Operating Theatre of Belgian Hospitals,Completed,No Results Available,COVID-19,N/A,Global evaluation of the implication of the Belgian anesthesiologists during COVID-19 pandemic|If any compare our results with other countries,Cliniques universitaires Saint-Luc- Université Catholique de Louvain|Society for Anesthesia and Resuscitation of Belgium,All,"up to 100 Years   (Child, Adult, Older Adult)",N/A,200,Other,Observational,2020-04-06,2020-06-30,2020-08-30,N/A,N/A,Case-Only,Prospective,N/A,N/A,Belgium,2020-04,2020,False,146
NCT04563247,Seroprevalence of SARS-CoV-2 in Asymptomatic Frontline COVID-19 HCWs,Completed,No Results Available,Covid19,Diagnostic Test: IgG SARS CoV 2 antibodies,SARS CoV 2 IgG antibodies,Lahore General Hospital,All,20 Years to 60 Years   (Adult),N/A,970,Other,Observational,2020-07-01,2021-02-08,2021-02-08,N/A,N/A,Cohort,Retrospective,N/A,N/A,Pakistan,2020-07,2020,False,222
NCT04379310,Evaluation of Clinical Parameters on Admission and Medications in Covid-19 Pneumonia (Corona Virus Disease 2019),Completed,No Results Available,Covid-19,Drug: ACE Inhibitors and Calcium Channel Blockers,extend of lung involvement|oxygen saturation on admission,Nisantasi University,All,"18 Years to 99 Years   (Adult, Older Adult)",N/A,54,Other,Observational,2020-05-01,2020-05-05,2020-05-08,N/A,N/A,Cohort,Retrospective,N/A,N/A,Turkey,2020-05,2020,False,7
NCT04682132,Polk COVID-19 and Flu Response,"Active, not recruiting",No Results Available,Covid19,"Diagnostic Test: COVID-19 antigen and antibody tests, and influenza rapid test",Prevalence of COVID-19 amongst county emergency personnel|Correlation of common COVID-19 symptoms with result of COVID-19 test|Co-existence of influenza and COVID-19 positive test results,Polk County Fire Rescue,All,"18 Years and older   (Adult, Older Adult)",N/A,686,Other,Observational,2020-05-26,2020-12-31,2021-01-01,N/A,N/A,Cohort,Prospective,N/A,N/A,United States,2020-05,2020,False,220
