study_id,condition_name,mesh_term
388,ONCOLOGY,Not Specified
388,SURGERY,Not Specified
389,COVID-19,Not Specified
390,COVID-19,Not Specified
391,COVID-19,Not Specified
392,COVID-19,Not Specified
393,COVID-19,Not Specified
394,COVID-19,Not Specified
395,COVID-19,Not Specified
395,COVID-19,Not Specified
396,COVID-19,Not Specified
397,COVID-19,Not Specified
398,ANOSMIA,Not Specified
398,AGEUSIA,Not Specified
398,COVID-19,Not Specified
398,COVID-19,Not Specified
399,COVID-19,Not Specified
400,COVID-19,Not Specified
401,COVID-19,Not Specified
402,COVID-19,Not Specified
403,COVID-19,Not Specified
404,COVID-19,Not Specified
405,ARDS,Not Specified
405,COVID-19,Not Specified
406,COVID-19,Not Specified
406,COVID-19,Not Specified
406,COVID-19,Not Specified
407,COVID-19,Not Specified
407,HEALTH DISPARITIES,Not Specified
408,COVID-19,Not Specified
409,COVID-19,Not Specified
410,COVID-19,Not Specified
410,COVID-19,Not Specified
410,HEALTH PERSONNEL,Not Specified
411,COVID-19,Not Specified
411,COVID-19,Not Specified
412,COVID-19,Not Specified
413,COVID-19,Not Specified
413,COVID-19,Not Specified
414,COVID-19,Not Specified
414,BRAIN,Not Specified
414,NEUROCOGNITION,Not Specified
414,FMRI,Not Specified
415,COVID-19,Not Specified
415,CANCER,Not Specified
415,NICOTINE DEPENDENCE,Not Specified
415,PULMONARY DISEASE,Not Specified
415,CARDIOVASCULAR DISEASES,Not Specified
415,IMMUNOSUPPRESSION DISORDERS,Not Specified
416,COVID-19,Not Specified
417,COVID-19,Not Specified
417,RESPIRATORY FAILURE,Not Specified
418,ORAL MANIFESTATIONS,Not Specified
418,COVID-19,Not Specified
418,VACCINE ADVERSE REACTION,Not Specified
419,COVID-19,Not Specified
420,COVID-19,Not Specified
421,COVID-19,Not Specified
422,COVID-19,Not Specified
423,COVID-19,Not Specified
423,HIV,Not Specified
423,ART,Not Specified
424,COVID-19,Not Specified
425,COVID-19,Not Specified
425,COVID-19,Not Specified
426,COVID-19,Not Specified
427,COVID-19,Not Specified
428,COVID-19,Not Specified
428,VACCINES,Not Specified
429,COVID-19,Not Specified
429,COVID-19,Not Specified
429,COVID-19,Not Specified
430,COVID-19,Not Specified
430,THROMBOEMBOLIC DISEASE,Not Specified
431,COVID-19,Not Specified
432,ASYMPTOMATIC CONDITION,Not Specified
432,VIRAL INFECTION,Not Specified
432,COVID-19,Not Specified
432,COVID-19,Not Specified
432,CORONAVIRIDAE INFECTIONS,Not Specified
432,RNA VIRUS INFECTIONS,Not Specified
432,VIRAL INFECTION,Not Specified
432,COMMUNICABLE DISEASE,Not Specified
433,COVID-19,Not Specified
433,TELEMEDICINE,Not Specified
433,QUALITY OF LIFE,Not Specified
433,SAFETY ISSUES,Not Specified
433,SYMPTOMS,Not Specified
434,COVID-19,Not Specified
435,COVID-19,Not Specified
435,DIARRHEA,Not Specified
436,RHEUMATIC DISEASES,Not Specified
436,COVID-19,Not Specified
436,COVID-19,Not Specified
437,COVID-19,Not Specified
438,COVID-19,Not Specified
439,COVID-19,Not Specified
439,MYELOMA MULTIPLE,Not Specified
439,MALIGNANT LYMPHOMA,Not Specified
439,HEMATOLOGIC NEOPLASMS,Not Specified
439,STEM CELL TRANSPLANT COMPLICATIONS,Not Specified
440,COVID-19,Not Specified
440,COVID-19,Not Specified
440,ANOSMIA,Not Specified
440,DYSGEUSIA,Not Specified
441,PNEUMONIA,Not Specified
441,COVID-19,Not Specified
442,COVID-19,Not Specified
443,COVID-19,Not Specified
444,COVID-19,Not Specified
445,COVID-19,Not Specified
446,COVID-19,Not Specified
446,COVID-19,Not Specified
446,COVID-19,Not Specified
447,EXTREME PREMATURITY,Not Specified
447,COVID-19,Not Specified
448,COVID-19,Not Specified
448,COVID-19,Not Specified
449,COVID-19,Not Specified
449,COVID-19,Not Specified
450,COVID-19,Not Specified
451,COVID-19,Not Specified
451,DISABILITIES MULTIPLE,Not Specified
451,CEREBRAL PALSY,Not Specified
451,MUSCULAR DYSTROPHIES,Not Specified
452,SARS,Not Specified
453,COVID-19,Not Specified
453,PNEUMONIA,Not Specified
454,PNEUMONIA,Not Specified
454,COVID-19,Not Specified
455,VENOUS THROMBOEMBOLISM,Not Specified
455,COVID-19,Not Specified
456,COVID-19,Not Specified
457,COVID-19,Not Specified
457,PNEUMONIA,Not Specified
458,"RESPIRATION, ARTIFICIAL",Not Specified
458,COVID-19,Not Specified
458,HEALTH CARE ASSOCIATED INFECTION,Not Specified
459,COVID-19,Not Specified
459,COVID-19,Not Specified
460,COVID-19,Not Specified
461,COVID-19,Not Specified
462,COVID-19,Not Specified
463,COVID-19,Not Specified
463,COVID-19,Not Specified
464,COVID-19,Not Specified
465,COVID-19,Not Specified
466,COVID-19,Not Specified
467,COMMUNICABLE DISEASE,Not Specified
467,COVID-19,Not Specified
467,COVID-19,Not Specified
467,INFECTIOUS DISEASE,Not Specified
467,COVID-19,Not Specified
467,VIRUS,Not Specified
468,COVID-19,Not Specified
469,COVID-19,Not Specified
470,COVID-19,Not Specified
471,COVID-19,Not Specified
472,COVID-19,Not Specified
473,COVID-19,Not Specified
474,COVID-19,Not Specified
474,HIGH ALTITUDE,Not Specified
475,COVID-19,Not Specified
476,COVID-19,Not Specified
477,COVID-19,Not Specified
478,COVID-19,Not Specified
479,COVID-19,Not Specified
480,COVID-19,Not Specified
481,COVID-19,Not Specified
482,COVID-19,Not Specified
482,BCG VACCINATION,Not Specified
483,COVID-19,Not Specified
484,COVID-19,Not Specified
485,COVID-19,Not Specified
486,COVID-19,Not Specified
487,LYMPHOPENIA,Not Specified
487,COVID-19,Not Specified
487,OLDER PEOPLE,Not Specified
488,"BURNOUT, PROFESSIONAL",Not Specified
488,STRESS,Not Specified
489,COVID-19,Not Specified
490,COVID-19,Not Specified
491,COVID-19,Not Specified
492,COVID-19,Not Specified
493,COVID-19,Not Specified
494,COVID-19,Not Specified
494,COVID-19,Not Specified
494,COVID-19,Not Specified
495,COVID-19,Not Specified
496,COVID-19,Not Specified
497,COVID-19,Not Specified
498,COVID-19,Not Specified
499,COVID-19,Not Specified
499,RHEUMATOID ARTHRITIS,Not Specified
499,PSORIATIC ARTHRITIS,Not Specified
499,HYDROXYCHLOROQUINE,Not Specified
500,COVID-19,Not Specified
500,OPHTHALMOPATHY,Not Specified
500,EYE DISEASES,Not Specified
501,COVID-19,Not Specified
502,COVID-19,Not Specified
503,COVID-19,Not Specified
504,COVID-19,Not Specified
504,KIDNEY INJURY,Not Specified
505,COVID-19,Not Specified
506,COVID-19,Not Specified
506,"RISK FACTOR, MORTALITY",Not Specified
507,COVID-19,Not Specified
508,COVID-19,Not Specified
509,COVID-19,Not Specified
509,ANXIETY AND FEAR,Not Specified
509,PARENTS,Not Specified
510,COVID-19,Not Specified
510,COVID-19,Not Specified
511,COVID-19,Not Specified
511,SURGERY,Not Specified
511,SARS,Not Specified
512,COVID-19,Not Specified
513,COVID-19,Not Specified
513,ENDOTRACHEAL INTUBATION,Not Specified
514,COVID-19,Not Specified
515,COVID-19,Not Specified
515,SARS,Not Specified
515,COVID-19,Not Specified
516,COVID-19,Not Specified
517,COVID-19,Not Specified
518,COVID-19,Not Specified
519,COVID-19,Not Specified
520,ONCOLOGY,Not Specified
520,COVID-19,Not Specified
521,COVID-19,Not Specified
522,COVID-19,Not Specified
522,"CHILDREN, ONLY",Not Specified
523,COVID-19,Not Specified
524,COVID-19,Not Specified
524,PULMONARY EMBOLISM,Not Specified
525,COVID-19,Not Specified
526,COVID-19,Not Specified
527,COVID-19,Not Specified
528,COVID-19,Not Specified
528,COVID-19,Not Specified
529,COVID-19,Not Specified
529,PNEUMONIA,Not Specified
530,COVID-19,Not Specified
531,COVID-19,Not Specified
532,COVID-19,Not Specified
532,COVID-19,Not Specified
532,PULMONARY REHABILITATION,Not Specified
532,QUALITY OF LIFE,Not Specified
533,COVID-19,Not Specified
533,POSTMORTEM CHANGES,Not Specified
534,COVID-19,Not Specified
535,COVID-19,Not Specified
535,COVID-19,Not Specified
536,COVID-19,Not Specified
537,COVID-19,Not Specified
538,COVID-19,Not Specified
539,COVID-19,Not Specified
540,COVID-19,Not Specified
541,COVID-19,Not Specified
542,COVID-19,Not Specified
542,COVID-19,Not Specified
543,COVID-19,Not Specified
544,COVID-19,Not Specified
544,DRUG EFFECT,Not Specified
544,DRUG INTERACTION,Not Specified
544,ADVERSE DRUG EVENT,Not Specified
545,COVID-19,Not Specified
546,COVID-19,Not Specified
547,COVID-19,Not Specified
547,VIRUS DISEASE,Not Specified
548,COVID-19,Not Specified
549,COVID-19,Not Specified
550,COVID-19,Not Specified
551,COVID-19,Not Specified
552,COVID-19,Not Specified
553,COVID-19,Not Specified
554,COVID-19,Not Specified
555,COVID-19,Not Specified
556,COVID-19,Not Specified
557,COVID-19,Not Specified
558,CONVALESCENT PLASMA,Not Specified
558,COVID-19,Not Specified
558,COVID-19,Not Specified
559,NEUROLOGIC MANIFESTATIONS,Not Specified
559,PSYCHIATRIC DISORDERS,Not Specified
559,COVID-19,Not Specified
560,COVID-19,Not Specified
561,COVID-19,Not Specified
562,COVID-19,Not Specified
562,LIVER CIRRHOSIS,Not Specified
563,SARS,Not Specified
563,COVID-19,Not Specified
563,COVID-19,Not Specified
564,COVID-19,Not Specified
565,COVID-19,Not Specified
565,PNEUMONIA,Not Specified
565,PNEUMONIA,Not Specified
565,FLU SYMPTOM,Not Specified
565,FLU LIKE ILLNESS,Not Specified
565,PNEUMONIA,Not Specified
565,PNEUMONIA,Not Specified
565,PNEUMONIA,Not Specified
566,PNEUMONIA,Not Specified
566,PNEUMONIA,Not Specified
566,COVID-19,Not Specified
566,OBSTRUCTIVE LUNG DISEASE,Not Specified
567,COVID-19,Not Specified
